id,area_m2,habitaciones,banos,antiguedad_anos,distancia_centro_km,calificacion_vecindario,precio_usd
1,174.84,2,4,9.6,3.24,6.7,260816.91
2,143.09,2,2,11.8,16.57,8.0,196237.89
3,182.38,3,1,2.6,6.17,9.5,308042.78
4,226.15,3,3,3.4,3.55,10.0,400933.12
5,138.29,5,3,1.4,6.91,6.0,296829.24
6,138.29,6,3,2.5,3.89,7.2,311170.57
7,228.96,5,2,9.1,4.05,9.1,340421.73
8,188.37,1,1,11.3,11.19,5.7,227921.58
9,126.53,1,4,0.3,10.22,6.1,198423.3
10,177.13,5,4,23.9,14.52,6.1,229313.32
11,126.83,6,3,5.2,7.42,7.0,333041.3
12,126.71,5,2,36.4,6.05,6.7,207934.52
13,162.1,6,2,50.0,2.14,6.1,257307.85
14,54.34,6,2,3.1,7.98,5.6,226124.95
15,63.75,4,4,9.3,6.24,8.2,251916.63
16,121.89,6,3,0.0,11.03,9.0,297929.36
17,99.36,3,1,13.7,14.05,9.2,166281.99
18,165.71,6,4,14.0,9.68,6.3,301225.29
19,104.6,6,3,4.3,10.5,8.3,251506.72
20,79.38,6,3,12.3,8.84,7.4,239412.24
21,223.28,1,1,3.8,9.7,6.1,293278.17
22,138.71,3,1,2.6,7.21,8.1,178672.92
23,153.38,3,1,15.8,7.91,6.1,217127.47
24,78.76,5,2,5.9,16.3,6.4,191909.12
25,122.78,4,1,13.4,9.93,4.9,183301.8
26,155.55,6,3,8.5,6.81,6.3,321614.37
27,92.45,2,1,50.0,5.39,7.4,120263.39
28,168.78,4,3,2.4,7.63,9.4,264566.7
29,119.97,4,4,9.4,14.64,6.5,260073.0
30,135.42,3,2,17.1,11.16,5.4,242785.78
31,119.91,4,4,7.6,1.02,9.2,280421.87
32,242.61,6,4,50.0,8.95,6.2,296339.94
33,149.33,6,3,19.2,5.36,4.4,261565.62
34,97.11,1,4,16.0,15.39,7.2,189172.91
35,191.13,6,3,21.2,4.69,6.5,328638.53
36,88.96,6,1,45.8,7.31,10.0,208660.64
37,160.44,3,1,35.8,5.1,7.7,233040.4
38,52.02,6,3,19.3,12.0,6.8,201420.91
39,83.59,1,1,20.7,7.01,5.6,156071.77
40,159.84,2,2,2.4,7.44,7.5,229520.83
41,186.92,3,4,1.6,6.58,9.2,288400.8
42,158.57,2,2,12.7,11.86,7.5,196270.82
43,144.22,3,4,0.3,7.82,5.7,248890.94
44,134.94,5,1,9.9,3.99,7.8,235303.66
45,76.07,4,2,3.5,3.81,6.9,219008.63
46,114.01,5,1,6.4,9.92,7.7,238858.93
47,126.97,6,4,22.4,4.59,6.5,251847.19
48,202.86,2,3,42.5,9.03,6.4,258242.81
49,167.18,6,3,1.1,3.69,6.4,376723.76
50,61.85,4,2,11.5,6.33,8.4,204498.56
51,166.2,3,1,32.1,7.78,6.4,165924.3
52,130.75,4,1,1.3,3.41,6.3,297327.72
53,116.15,1,2,26.1,14.95,5.6,161044.12
54,180.58,4,3,6.6,23.62,7.7,321618.13
55,201.55,1,4,5.8,11.87,7.5,303892.36
56,196.56,4,2,50.0,9.97,6.3,281078.74
57,108.04,1,4,3.4,18.67,5.9,184111.88
58,134.54,2,3,17.7,14.87,9.8,213484.54
59,166.56,6,1,25.8,4.69,4.2,278972.56
60,198.78,6,3,0.6,5.63,7.7,330600.08
61,126.04,5,2,16.6,9.64,8.9,265638.82
62,140.72,6,1,45.4,7.93,1.9,155497.38
63,94.68,3,2,2.0,10.93,8.2,208753.16
64,90.19,4,2,34.0,17.65,6.7,188577.54
65,190.63,5,3,13.5,5.81,7.4,322264.49
66,217.81,3,2,14.4,8.82,6.5,339859.69
67,146.4,3,3,14.2,4.5,8.6,255047.26
68,200.18,1,1,5.3,9.05,7.5,274441.8
69,168.08,6,3,41.0,3.43,7.2,266853.98
70,117.74,2,1,44.2,6.38,5.7,170488.28
71,168.07,2,3,14.7,11.38,9.8,262050.12
72,226.9,5,4,22.9,3.19,7.0,344529.73
73,148.21,2,4,14.2,14.53,10.0,182162.35
74,228.23,4,2,9.9,18.2,9.9,307669.79
75,50.0,2,3,16.2,13.58,4.3,131019.54
76,191.1,5,3,12.1,15.41,6.0,319512.37
77,154.35,2,1,13.7,8.41,5.4,243042.2
78,135.05,4,2,23.0,12.42,6.9,270619.69
79,154.59,1,3,9.8,14.85,7.3,242394.5
80,50.62,5,2,0.6,9.19,7.3,191797.52
81,139.02,1,4,2.7,15.52,8.6,218525.95
82,167.86,1,3,8.7,11.43,9.2,261989.12
83,223.89,1,3,19.4,6.22,8.5,299361.62
84,124.09,3,2,13.5,6.15,6.2,254978.38
85,109.58,6,3,15.8,8.14,5.8,317911.0
86,124.91,3,2,9.8,14.51,7.0,259014.93
87,195.77,6,3,14.3,12.16,7.6,374862.1
